"ï»¿""corpus""",preloaded/film_corpus
,shuttle,45,12.010
,independence,2,8.870
,religious,4,8.530
,freedom,2,8.370
,basic,2,7.870
,personal,6,7.420
,fuck,2,6.790
,pure,2,6.770
,total,2,6.220
,true,2,6.050
,sudden,2,5.730
,Sharp,8,10.390
,Chick,3,9.570
,fighter,9,8.930
,parade,3,8.810
,cockpit,3,8.540
,Harry,5,7.820
,paper,3,6.320
,song,2,5.990
,taste,4,8.670
,celebrate,2,7.810
,restore,2,7.720
,enjoy,5,7.200
,protect,3,7.150
,win,3,6.570
,back,2,6.410
,want,2,12.830
,exhilaration,2,9.640
,individuality,2,9.620
,democracy,2,9.500
,opportunity,2,9.150
,society,2,9.140
,joy,3,8.930
,truth,2,7.710
,life,3,6.680
,first,2,6.920
,our,17,5.180
,root,2,9.170
,symbol,2,8.900
,chance,2,8.850
,breath,2,8.740
,spirit,2,8.500
,day,2,6.890
,sense,3,6.790
,image,2,6.290
,sea,10,10.940
,speech,4,10.200
,press,3,9.810
,movement,5,9.480
,choice,2,9.260
,country,2,8.110
,yearning,2,10.680
,fight,2,9.850
,die,3,9.630
,dash,2,9.530
,stand,2,7.860
,climb,2,8.580
,key,2,8.260
,way,4,6.630
,belief,3,11.300
,interested,2,7.530
,live,2,6.110
,job,2,8.920
,galaxy,2,12.680
